Date,Month,Title,Company,Location,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-25,December,Schedule Planner (EXPAT),"KBR, Inc.","Luanda, Luanda Province, Angola",Mid-Senior level,Full-time,Management and Manufacturing,IT Services and IT Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4341266724,https://ao.linkedin.com/jobs/view/schedule-planner-expat-at-kbr-inc-4341266724,Bac+5 / Master / Ingénieur,4 ans/years,General Search
2025-12-25,December,机械维修/保养,万丰奥特控股集团有限公司,"Yaoundé I, Centre, Cameroon",Entry level,Full-time,Engineering and Information Technology,Machinery Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329265377,https://cm.linkedin.com/jobs/view/%E6%9C%BA%E6%A2%B0%E7%BB%B4%E4%BF%AE-%E4%BF%9D%E5%85%BB-at-%E4%B8%87%E4%B8%B0%E5%A5%A5%E7%89%B9%E6%8E%A7%E8%82%A1%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4329265377,N/A,N/A,General Search
2025-12-25,December,Head of Enterprise EMEA,Ericsson,"Douala I, Littoral, Cameroon",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329196580,https://cm.linkedin.com/jobs/view/head-of-enterprise-emea-at-ericsson-4329196580,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Work-from-Home Customer Support – French Speaking,TalentPop App,Cameroon,Entry level,Full-time,Other,IT Services and IT Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329133304,https://cm.linkedin.com/jobs/view/work-from-home-customer-support-%E2%80%93-french-speaking-at-talentpop-app-4329133304,Bac+8 / Doctorat,N/A,General Search
2025-12-25,December,Digital Marketer,Mankis,"Douala V, Littoral, Cameroon",Mid-Senior level,Full-time,N/A,IT System Custom Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346211472,https://cm.linkedin.com/jobs/view/digital-marketer-at-mankis-4346211472,Bac+4,N/A,General Search
2025-12-25,December,Apporteur d'affaires,Sany Angola,"Douala I, Littoral, Cameroon",Entry level,Contract,Business Development and Sales,Industrial Machinery Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346154840,https://cm.linkedin.com/jobs/view/apporteur-d-affaires-at-sany-angola-4346154840,N/A,N/A,General Search
2025-12-25,December,Marketing And Public Relations Coordinator,COSMOS Educational Press Limited,"Yaoundé, Centre, Cameroon",Entry level,Full-time,N/A,Book and Periodical Publishing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346153671,https://cm.linkedin.com/jobs/view/marketing-and-public-relations-coordinator-at-cosmos-educational-press-limited-4346153671,Bac+5 / Master / Ingénieur,40 ans/years,General Search
2025-12-25,December,Motion Designer,KURSA,Cameroon,Entry level,Full-time,"Design, Art/Creative, and Information Technology",Mobile Computing Software Products,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346097151,https://cm.linkedin.com/jobs/view/motion-designer-at-kursa-4346097151,N/A,N/A,General Search
2025-12-25,December,QHSE Director,Achyutam International - Consulting in HR & Finance,Cameroon,Director,Full-time,Other,Food and Beverage Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4327788444,https://cm.linkedin.com/jobs/view/qhse-director-at-achyutam-international-consulting-in-hr-finance-4327788444,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Contrôleur d'Agence,FIDEV CAMEROUN S.A.,"Yaoundé IV, Centre, Cameroon",Entry level,Contract,N/A,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345832957,https://cm.linkedin.com/jobs/view/contr%C3%B4leur-d-agence-at-fidev-cameroun-s-a-4345832957,Bac,02 ans/years,General Search
2025-12-25,December,Tax Accountant,NFC COMPANY SA,Cameroon,Entry level,Full-time,Accounting/Auditing and Finance,Financial Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346099508,https://cm.linkedin.com/jobs/view/tax-accountant-at-nfc-company-sa-4346099508,Bac+5 / Master / Ingénieur,5 ans/years,General Search
2025-12-25,December,Quick Lane Service Technician,Mills Automotive Group,"Service, Mambéré-Kadéï, Central African Republic",Entry level,Full-time,Information Technology,Retail Motor Vehicles,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329207736,https://cf.linkedin.com/jobs/view/quick-lane-service-technician-at-mills-automotive-group-4329207736,Bac+5 / Master / Ingénieur,20 ans/years,General Search
2025-12-25,December,Automotive Service Technician,Mills Automotive Group,"Service, Mambéré-Kadéï, Central African Republic",Entry level,Full-time,Management and Manufacturing,Retail Motor Vehicles,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329291754,https://cf.linkedin.com/jobs/view/automotive-service-technician-at-mills-automotive-group-4329291754,Bac+5 / Master / Ingénieur,2 ans/years,General Search
2025-12-25,December,机加技工,万丰奥特控股集团有限公司,"Koutere 2, Logone Oriental, Chad",Entry level,Full-time,Management and Manufacturing,Machinery Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329217006,https://td.linkedin.com/jobs/view/%E6%9C%BA%E5%8A%A0%E6%8A%80%E5%B7%A5-at-%E4%B8%87%E4%B8%B0%E5%A5%A5%E7%89%B9%E6%8E%A7%E8%82%A1%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4329217006,N/A,N/A,General Search
2025-12-25,December,Stagiaires en Communication (spécialité photo & vidéo),UNDP Careers,"Ndjamena, Salamat, Chad",Internship,Full-time,"Marketing, Public Relations, and Writing/Editing",International Affairs,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4345842710,https://td.linkedin.com/jobs/view/stagiaires-en-communication-sp%C3%A9cialit%C3%A9-photo-vid%C3%A9o-at-undp-careers-4345842710,Bac,2 ans/years,General Search
2025-12-25,December,Mécanicien Automobile (H/F),Volkswagen Group France Formation & RH Réseaux,"Gregoire, Moyen-Chari, Chad",Entry level,Full-time,Management and Manufacturing,Retail Motor Vehicles,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346108579,https://td.linkedin.com/jobs/view/m%C3%A9canicien-automobile-h-f-at-volkswagen-group-france-formation-rh-r%C3%A9seaux-4346108579,N/A,N/A,General Search
2025-12-25,December,车工（双休长白班八小时工作制）,万丰奥特控股集团有限公司,"Koutere 2, Logone Oriental, Chad",Not Applicable,Full-time,Other,Machinery Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328997986,https://td.linkedin.com/jobs/view/%E8%BD%A6%E5%B7%A5%EF%BC%88%E5%8F%8C%E4%BC%91%E9%95%BF%E7%99%BD%E7%8F%AD%E5%85%AB%E5%B0%8F%E6%97%B6%E5%B7%A5%E4%BD%9C%E5%88%B6%EF%BC%89-at-%E4%B8%87%E4%B8%B0%E5%A5%A5%E7%89%B9%E6%8E%A7%E8%82%A1%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4328997986,N/A,N/A,General Search
2025-12-25,December,Lead Generation Specialist,PETRONEX,Chad,Entry level,Full-time,Marketing and Sales,Oil and Gas,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346048338,https://td.linkedin.com/jobs/view/lead-generation-specialist-at-petronex-4346048338,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-25,December,CNC操作员,万丰奥特控股集团有限公司,"Goré 3, Logone Oriental, Chad",Entry level,Full-time,Management and Manufacturing,Machinery Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329300583,https://td.linkedin.com/jobs/view/cnc%E6%93%8D%E4%BD%9C%E5%91%98-at-%E4%B8%87%E4%B8%B0%E5%A5%A5%E7%89%B9%E6%8E%A7%E8%82%A1%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4329300583,N/A,N/A,General Search
2025-12-25,December,Stage Audit F/H,Deloitte,"Douala, Hadjer-Lamis, Chad",Mid-Senior level,Full-time,Accounting/Auditing and Finance,Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4325364774,https://td.linkedin.com/jobs/view/stage-audit-f-h-at-deloitte-4325364774,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-25,December,Information Technology Engineer,ARISE IIP,"Moundou, Logone Oriental, Chad",Mid-Senior level,Full-time,Other,IT Services and IT Consulting and IT System Training and Support,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346300318,https://td.linkedin.com/jobs/view/information-technology-engineer-at-arise-iip-4346300318,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-25,December,Nurse Next Door Victoria: Caregiving / Companionship,Nurse Next Door,"Canada, Moyen-Chari, Chad",Mid-Senior level,Full-time,Health Care Provider,Home Health Care Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329006956,https://td.linkedin.com/jobs/view/nurse-next-door-victoria-caregiving-companionship-at-nurse-next-door-4329006956,Bac+3 / Licence,N/A,General Search
2025-12-25,December,Language Translation Specialist,Global Bilingual Source,"N'Djamena, N'Djamena, Chad",Entry level,Full-time,"Marketing, Public Relations, and Writing/Editing",Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346183833,https://td.linkedin.com/jobs/view/language-translation-specialist-at-global-bilingual-source-4346183833,N/A,N/A,General Search
2025-12-25,December,Maintenance Technician Internship,SLB,"Pointe-Noire, Republic of the Congo",Not Applicable,Full-time,Management and Manufacturing,Oil and Gas,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4348404563,https://cg.linkedin.com/jobs/view/maintenance-technician-internship-at-slb-4348404563,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-25,December,Visa Application Agent,TLScontact,"Pointe-Noire, Republic of the Congo",Associate,Full-time,Customer Service,Outsourcing and Offshoring Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346240417,https://cg.linkedin.com/jobs/view/visa-application-agent-at-tlscontact-4346240417,N/A,N/A,General Search
2025-12-25,December,Responsable Achats & Ventes (H/F),SWEETIE JUICE,"Brazzaville, Republic of the Congo",Mid-Senior level,Full-time,Purchasing and Supply Chain,Food and Beverage Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344210801,https://cg.linkedin.com/jobs/view/responsable-achats-ventes-h-f-at-sweetie-juice-4344210801,N/A,Junior (0-2 ans),General Search
2025-12-25,December,"Chargé D’affaires Ambassades, Organismes Internationaux Et ONG",UBA CONGO BZV,Republic of the Congo,Mid-Senior level,Full-time,N/A,Banking,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346253172,https://cg.linkedin.com/jobs/view/charg%C3%A9-d%E2%80%99affaires-ambassades-organismes-internationaux-et-ong-at-uba-congo-bzv-4346253172,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-25,December,Head of Enterprise EMEA,Ericsson,"Pointe-Noire, Republic of the Congo",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329096966,https://cg.linkedin.com/jobs/view/head-of-enterprise-emea-at-ericsson-4329096966,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Head of Enterprise EMEA,Ericsson,"Brazzaville, Republic of the Congo",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329036982,https://cg.linkedin.com/jobs/view/head-of-enterprise-emea-at-ericsson-4329036982,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Head of Enterprise EMEA,Ericsson,"Likouala, Republic of the Congo",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329272809,https://cg.linkedin.com/jobs/view/head-of-enterprise-emea-at-ericsson-4329272809,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Head of Enterprise EMEA,Ericsson,"Dolisie, Niari Department, Republic of the Congo",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329136752,https://cg.linkedin.com/jobs/view/head-of-enterprise-emea-at-ericsson-4329136752,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Head of Enterprise EMEA,Ericsson,"Ouésso, Sangha, Republic of the Congo",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329206530,https://cg.linkedin.com/jobs/view/head-of-enterprise-emea-at-ericsson-4329206530,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Head of Enterprise EMEA,Ericsson,"Impfondo, Likouala, Republic of the Congo",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329186611,https://cg.linkedin.com/jobs/view/head-of-enterprise-emea-at-ericsson-4329186611,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Industry Ecosystem & Emerging Biz EMEA,Ericsson,"Brazzaville, Republic of the Congo",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329196602,https://cg.linkedin.com/jobs/view/industry-ecosystem-emerging-biz-emea-at-ericsson-4329196602,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Industry Ecosystem & Emerging Biz EMEA,Ericsson,"Gamboma, Plateaux Department, Republic of the Congo",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329166690,https://cg.linkedin.com/jobs/view/industry-ecosystem-emerging-biz-emea-at-ericsson-4329166690,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Industry Ecosystem & Emerging Biz EMEA,Ericsson,"Oyo, Cuvette Department, Republic of the Congo",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329166689,https://cg.linkedin.com/jobs/view/industry-ecosystem-emerging-biz-emea-at-ericsson-4329166689,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Industry Ecosystem & Emerging Biz EMEA,Ericsson,"Nkayi, Bouenza Department, Republic of the Congo",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329234921,https://cg.linkedin.com/jobs/view/industry-ecosystem-emerging-biz-emea-at-ericsson-4329234921,Bac+5 / Master / Ingénieur,10 ans/years,General Search
